Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,field
86,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,1388,0.677,0.00109,experimental
87,Psicologica,255,0.633,4.3e-4,experimental
Copyright © 2020 Clarivate Analytics,NA,NA,NA,NA,experimental
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",NA,NA,NA,NA,experimental
1,PSYCHOLOGICAL BULLETIN,52600,20.85,0.02712,multidisciplinary
2,Psychological Science in the Public Interest,1591,18.25,0.00287,multidisciplinary
3,Annual Review of Psychology,21277,18.156,0.0195,multidisciplinary
4,PSYCHOLOGICAL INQUIRY,4943,9.917,0.00385,multidisciplinary
5,PSYCHOLOGICAL METHODS,13193,8.43,0.0123,multidisciplinary
6,Perspectives on Psychological Science,10484,8.275,0.02237,multidisciplinary
7,PSYCHOLOGICAL REVIEW,29567,6.857,0.00908,multidisciplinary
8,AMERICAN PSYCHOLOGIST,27040,6.536,0.01277,multidisciplinary
9,PSYCHOLOGICAL SCIENCE,32050,5.389,0.04036,multidisciplinary
10,ENVIRONMENT AND BEHAVIOR,6805,5.141,0.00393,multidisciplinary
11,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,12101,5.117,0.0165,multidisciplinary
12,COMPUTERS IN HUMAN BEHAVIOR,29852,5.003,0.0473,multidisciplinary
13,European Journal of Psychology Applied to Legal Context,267,4.905,4.2e-4,multidisciplinary
14,ANNALS OF BEHAVIORAL MEDICINE,7126,4.48,0.0084,multidisciplinary
15,Emotion Review,2463,4.258,0.00468,multidisciplinary
16,Current Opinion in Psychology,3084,4.162,0.01348,multidisciplinary
17,Psychosocial Intervention,714,4.026,8.6e-4,multidisciplinary
18,SUICIDE AND LIFE-THREATENING BEHAVIOR,4512,3.867,0.00598,multidisciplinary
19,Journal of Positive Psychology,3094,3.828,0.00476,multidisciplinary
20,PSYCHOSOMATIC MEDICINE,12560,3.702,0.00989,multidisciplinary
21,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,9435,3.502,0.00993,multidisciplinary
22,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,10491,3.301,0.0084,multidisciplinary
23,BRITISH JOURNAL OF PSYCHOLOGY,4626,3.239,0.00406,multidisciplinary
24,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,4946,3.163,0.00323,multidisciplinary
25,PSYCHO-ONCOLOGY,11286,3.006,0.01634,multidisciplinary
26,EUROPEAN PSYCHOLOGIST,1618,2.907,0.00188,multidisciplinary
27,AGGRESSION AND VIOLENT BEHAVIOR,4623,2.893,0.00566,multidisciplinary
28,JOURNAL OF GAMBLING STUDIES,2877,2.836,0.00371,multidisciplinary
29,PSYCHOLOGY OF ADDICTIVE BEHAVIORS,5301,2.78,0.00764,multidisciplinary
30,NEUROBIOLOGY OF LEARNING AND MEMORY,7356,2.768,0.01344,multidisciplinary
31,PSICOTHEMA,3426,2.632,0.0025,multidisciplinary
32,PSYCHOLOGY & HEALTH,5306,2.534,0.00471,multidisciplinary
33,INTELLIGENCE,4111,2.471,0.00617,multidisciplinary
34,PSYCHOLOGY OF WOMEN QUARTERLY,4005,2.444,0.00334,multidisciplinary
35,Psychology of Religion and Spirituality,919,2.367,0.00138,multidisciplinary
36,REVIEW OF GENERAL PSYCHOLOGY,4664,2.364,0.0027,multidisciplinary
37,Crisis-The Journal of Crisis Intervention and Suicide Prevention,1705,2.356,0.00217,multidisciplinary
38,Journal of Happiness Studies,4673,2.344,0.00592,multidisciplinary
39,ARCHIVES OF SUICIDE RESEARCH,1525,2.274,0.00251,multidisciplinary
40,ANXIETY STRESS AND COPING,2191,2.25,0.00257,multidisciplinary
41,BEHAVIOR GENETICS,3016,2.231,0.0032,multidisciplinary
42,AGGRESSIVE BEHAVIOR,3578,2.219,0.00368,multidisciplinary
43,Judgment and Decision Making,2465,2.163,0.00412,multidisciplinary
44,CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,1597,2.068,0.00111,multidisciplinary
45,Frontiers in Psychology,34910,2.067,0.10267,multidisciplinary
46,CURRENT PSYCHOLOGY,1519,2.051,0.0024,multidisciplinary
47,Psychology Research and Behavior Management,682,2.03,0.00134,multidisciplinary
48,JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1209,1.976,8.2e-4,multidisciplinary
49,JOURNAL OF HUMANISTIC PSYCHOLOGY,704,1.902,4.9e-4,multidisciplinary
50,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,6455,1.894,0.01205,multidisciplinary
51,FEMINISM & PSYCHOLOGY,1101,1.882,9.2e-4,multidisciplinary
52,JOURNAL OF HOMOSEXUALITY,3140,1.873,0.0037200000000000002,multidisciplinary
53,Collabra-Psychology,149,1.761,7.2e-4,multidisciplinary
54,JOURNAL OF ECONOMIC PSYCHOLOGY,4931,1.718,0.00423,multidisciplinary
55,CULTURE & PSYCHOLOGY,1009,1.71,7.7e-4,multidisciplinary
