Rank,Journal,Total Cites,Journal Impact Factor,Eigenfactor Score,field,website,ISSN,eISSN,Publisher name,Languages,Web of Science Categories
9,JOURNAL OF MEMORY AND LANGUAGE,9767,3.893,0.00761,experimental,https://www.journals.elsevier.com/journal-of-memory-and-language,0749-596X,1096-0821,ACADEMIC PRESS INC ELSEVIER SCIENCE,English,"Linguistics | Psychology, Experimental"
13,JOURNAL OF APPLIED RESEARCH IN MEMORY AND COGNITION,986,3.472,0.00345,experimental,https://www.journals.elsevier.com/journal-of-applied-research-in-memory-and-cognition,2211-3681,2211-369X,ELSEVIER SCIENCE INC,English,"Psychology, Experimental"
2,PSYCHONOMIC BULLETIN & REVIEW,12117,3.91,0.02061,mathematical,https://www.springer.com/journal/13423,1069-9384,1531-5320,SPRINGER,English,"Psychology, Mathematical | Psychology, Experimental"
3,JOURNAL OF MATHEMATICAL PSYCHOLOGY,3063,2.635,0.00383,mathematical,https://www.journals.elsevier.com/journal-of-mathematical-psychology,0022-2496,1096-0880,ACADEMIC PRESS INC ELSEVIER SCIENCE,English,"Psychology, Mathematical | Social Sciences, Mathematical Methods"
4,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,1965,2.388,0.00348,mathematical,https://onlinelibrary.wiley.com/journal/20448317,0007-1102,2044-8317,WILEY,English,"Psychology, Mathematical | Psychology, Experimental"
8,APPLIED PSYCHOLOGICAL MEASUREMENT,4522,1.326,0.00175,mathematical,https://journals.sagepub.com/home/apm,0146-6216,1552-3497,SAGE PUBLICATIONS INC,English,"Psychology, Mathematical | Social Sciences, Mathematical Methods"
11,JOURNAL OF EDUCATIONAL MEASUREMENT,1716,1.056,0.00129,mathematical,https://onlinelibrary.wiley.com/journal/17453984,0022-0655,1745-3984,WILEY,English,"Psychology, Educational | Psychology, Mathematical | Psychology, Applied"
5,PSYCHOLOGICAL METHODS,13193,8.43,0.0123,multidisciplinary,https://www.apa.org/pubs/journals/met,1082-989X,1939-1463,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Multidisciplinary"
6,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,10484,8.275,0.02237,multidisciplinary,https://journals.sagepub.com/home/pps,1745-6916,1745-6924,SAGE PUBLICATIONS LTD,English,"Psychology, Multidisciplinary"
8,AMERICAN PSYCHOLOGIST,27040,6.536,0.01277,multidisciplinary,https://www.apa.org/pubs/journals/amp,0003-066X,1935-990X,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Multidisciplinary"
9,PSYCHOLOGICAL SCIENCE,32050,5.389,0.04036,multidisciplinary,https://journals.sagepub.com/home/pss,0956-7976,1467-9280,SAGE PUBLICATIONS INC,English,"Psychology, Multidisciplinary"
10,ENVIRONMENT AND BEHAVIOR,6805,5.141,0.00393,multidisciplinary,https://journals.sagepub.com/author-instructions/EAB,0013-9165,1552-390X,SAGE PUBLICATIONS INC,English,"Environmental Studies | Psychology, Multidisciplinary"
1,JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,1043,1.044,0.00106,psychoanalysis,https://journals.sagepub.com/home/apa,0003-0651,1941-2460,SAGE PUBLICATIONS INC,English,"Psychology, Psychoanalysis | Psychiatry"
2,PSYCHOANALYTIC PSYCHOLOGY,742,0.958,9.5e-4,psychoanalysis,https://www.apa.org/pubs/journals/pap,0736-9735,1939-1331,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,English,"Psychology, Clinical | Psychology, Psychoanalysis"
4,BULLETIN OF THE MENNINGER CLINIC,454,0.667,3.2e-4,psychoanalysis,https://guilfordjournals.com/loi/bumc,0025-9284,1943-2828,GUILFORD PUBLICATIONS INC,English,"Psychology, Psychoanalysis | Psychiatry"
5,PSYCHOANALYTIC STUDY OF THE CHILD,438,0.525,2e-4,psychoanalysis,https://www.tandfonline.com/loi/upsc20,0079-7308,2474-3356,ROUTLEDGE,English,"Psychology, Psychoanalysis"
6,INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,2532,0.48,0.00112,psychoanalysis,https://www.tandfonline.com/toc/ripa20/current,0020-7578,1745-8315,TAYLOR & FRANCIS LTD,English,"Psychology, Psychoanalysis"
4,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,75827,6.335,0.02632,social,https://www.apa.org/pubs/journals/psp,0022-3514,1939-1315,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Social"
5,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,3480,4.385,0.01264,social,https://journals.sagepub.com/home/spp,1948-5506,1948-5514,SAGE PUBLICATIONS INC,English,"Psychology, Social"
7,JOURNAL OF PERSONALITY,9149,3.667,0.00742,social,https://onlinelibrary.wiley.com/journal/14676494,0022-3506,1467-6494,WILEY,English,"Psychology, Social"
9,POLITICAL PSYCHOLOGY,4354,3.265,0.00815,social,https://onlinelibrary.wiley.com/journal/14679221,0162-895X,1467-9221,WILEY,English,"Political Science | Psychology, Social"
10,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,12445,3.254,0.01464,social,https://www.sciencedirect.com/journal/journal-of-experimental-social-psychology,0022-1031,1096-0465,ACADEMIC PRESS INC ELSEVIER SCIENCE,English,"Psychology, Social"
