Journal,ISSN,eISSN,Publisher name,Languages,Web of Science Categories,websites,inTOP,coder
EMERGING ADULTHOOD,2167-6968,2167-6984,SAGE PUBLICATIONS INC,English,"Psychology, Developmental | Family Studies | Psychology, Social",https://journals.sagepub.com/home/eax,TRUE,TOP
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,0278-7393,1939-1285,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Experimental",https://www.apa.org/pubs/journals/xlm,TRUE,TOP
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,1071-5819,1095-9300,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,English,"Psychology, Multidisciplinary | Ergonomics",https://www.journals.elsevier.com/international-journal-of-human-computer-studies,TRUE,TOP
PSYCHOLOGY OF RELIGION AND SPIRITUALITY,1941-1022,1943-1562,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,English,"Psychology, Multidisciplinary",https://www.apa.org/pubs/journals/rel,TRUE,TOP
EUROPEAN JOURNAL OF PERSONALITY,0890-2070,1099-0984,WILEY,English,"Psychology, Social",https://onlinelibrary.wiley.com/journal/10990984,TRUE,TOP
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8456,2329-8464,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Biological | Psychology, Experimental",https://www.apa.org/pubs/journals/xan,TRUE,TOP
SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY,2157-3905,2157-3913,AMER PSYCHOLOGICAL ASSOC,English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied",https://www.apa.org/pubs/journals/spy,TRUE,TOP
JOURNAL OF EDUCATIONAL PSYCHOLOGY,0022-0663,1939-2176,AMER PSYCHOLOGICAL ASSOC,English,"Psychology, Educational",https://www.apa.org/pubs/journals/edu,TRUE,TOP
LEADERSHIP QUARTERLY,1048-9843,1873-3409,ELSEVIER SCIENCE INC,English,"Psychology, Applied | Management",https://www.journals.elsevier.com/the-leadership-quarterly,TRUE,TOP
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,1749-5016,1749-5024,OXFORD UNIV PRESS,English,"Psychology, Experimental",https://academic.oup.com/scan,TRUE,TOP
